k_f1,k_f2,k_m,ar_f,w_f,rho_f,rho_m,a11,a22,a12,a13,a23,k11,k12,k13,k22,k23,k33
2.050975108323619,15.773888387603126,0.745342631229572,480.1376063651293,0.1147411571875103,1408.7261471916638,1381.0004507163105,0.20078126226227544,0.45016346970223575,0.07001176404210108,-0.3805063003160171,0.39546915789248394,0.91006,-0.0010984,0.0065403,0.9064,-0.0011568,0.9075
19.502737607146425,8.017929055332392,0.34948889267053457,155.73448588852597,0.2081011505490697,1876.0048716704669,940.1242042040004,0.8611000753160734,0.13176116494114293,-0.1002489913161933,0.1586097965393523,-0.06615907880711891,2.1625,-0.20659,0.30663,0.71783,-0.15695,0.54295
17.186255485127585,17.99782237891387,0.06809324001306669,219.66404754235867,0.25660751127592074,1752.5260260074524,1489.1682166822463,0.2805381079457868,0.541370759057135,0.31456112667925207,-0.21242230327171832,-0.1206777200721097,1.1938,0.75079,-0.37223,1.9287,0.71763,0.96518
4.370668662018795,5.710522454634309,0.9642178727881051,395.92450555323745,0.16311291079268567,1559.4357254874758,1027.1984562746748,0.7817487794687208,0.07338554108325485,-0.2588109988462426,0.028040687075865434,0.24140437424645855,1.2787,-0.042362,0.0090448,1.1684,-0.031594,1.1726
24.471263297074845,16.70603229146721,0.48555803607180714,408.3698001141333,0.057176925361671876,1978.3990204563956,1555.8857958965941,0.24808779541507175,0.5779657525594768,-0.15170642615265173,-0.10792221236257538,-0.38799954949776444,0.78878,-0.15877,-0.11294,1.134,-0.15877,0.71119
12.098849239691905,9.575704024445917,0.609244608540833,208.19715357594077,0.3637153045579847,1335.3234898240557,1100.94745712399,0.8154692269375715,0.008624066379174731,0.021677474509027628,0.3298264324216768,0.07357973657816275,3.6944,0.069287,1.0542,1.1154,0.069287,1.6501
20.840730343397986,10.574211687379238,0.6676970713992603,112.05966714049538,0.17747274654416337,2022.3187436965486,1728.110122815613,0.5650512072920502,0.23669126063477855,0.16311679016904013,0.10801367300688852,-0.16174482725327471,2.5188,0.47307,0.31324,1.5665,0.47307,1.4551
9.839072515266668,19.565031822053065,0.8278866702469997,166.68887394888236,0.3152459715740484,1632.841373431373,1426.789446469517,0.11540973153283633,0.41767813611472027,-0.20715728557472077,-0.07714987442470994,0.1132053498880683,1.696,-0.35889,-0.12413,2.237,-0.3798,2.3177
27.794277206636686,18.966103243379575,0.5689798165748827,47.34048450610956,0.22112388499285895,1305.562741384964,1337.0413427574385,0.13643381479915045,0.02564237746666445,-0.28012043603097125,0.29452750745068207,-0.14981301401453057,1.8613,-0.83102,1.3365,1.5814,-1.2247,4.6701
21.66661411193134,2.555317725886684,0.05905972216026858,376.3281086868715,0.38991154458253924,1621.5425009708529,1355.9711123841473,0.5026346256201789,0.38862603595759304,-0.08014335015133395,0.1472419539403515,-0.26145551322719857,3.8355,-0.59277,1.089,2.9924,-0.59277,0.9222
7.004096532071754,1.1756492061252706,0.6279243839072064,136.3516957317126,0.03257113824153659,1936.779613630149,1515.0839358189176,0.37037459826010094,0.20375755179239213,-0.3356299980941355,0.06606776394718233,0.03663589654489485,0.69112,-0.036853,0.012598,0.67801,-0.037663,0.69759
12.895432766373084,17.30375872497214,0.24227461989969015,286.03826578842944,0.15127421775673158,1848.443708017197,1192.1144477083187,0.21534459175916204,0.16681676720291036,-0.13557585987608878,0.31257350686104685,0.37464054831209315,0.5647,-0.16901,0.38963,0.50422,-0.16901,1.0664
14.260808977248798,4.728300114836916,0.8032335739090107,448.58225536039663,0.23195903336383758,1712.664375656116,1532.6307983053252,0.3507843790303618,0.26412522477344247,0.19769983963028714,0.363563314164903,0.2532759658951187,1.9927,0.50938,0.93672,1.7694,0.50938,2.0811
5.214915778085124,18.66870480344854,0.32481878183940427,100.25618255764515,0.3507597339800334,2072.560650820875,1174.4577165347787,0.28661172538876345,0.10268423761119377,0.39763124422529117,0.0170622598799951,0.14168147855561897,0.78166,0.19319,0.051092,0.73368,0.22633,0.98003
20.548171074619702,15.101765671117976,0.9864447355559096,357.86556245234283,0.020564140297267875,1531.437452397876,1242.206452101801,0.15311944728439486,0.09229867916380116,0.04221182286324948,0.1978100354332551,-0.3664629506756423,1.0615,0.012574,0.058922,1.0434,0.012574,1.2406
29.365991437074356,1.5032407866943627,0.3837594566326588,188.84052890265968,0.18925418474626732,1395.6694947875856,1450.9158583160308,0.43095293085022646,0.33080044258914215,0.24221417664114542,0.24510025373107197,-0.028507937949158346,2.8597,1.3351,1.351,2.3077,1.3351,1.7976
29.237692671281565,11.9254778604744,0.5458659084080718,451.7363518797598,0.09747716632265632,1448.417845137613,1467.6412662900723,0.5072538551245053,0.13013010580115672,-0.35637110276174094,-0.09586654036004377,0.35678936403021644,1.8284,-0.56668,-0.084236,1.2871,-0.52988,1.5645
9.207872774610388,4.366071610184013,0.42199624878084285,183.34769478743817,0.37849130810483456,1867.076561478174,1022.3705405101841,0.5305428459801879,0.4612194147061607,0.21383963737657896,0.26776259660550955,-0.07985157375528934,1.5874,0.3886,0.40312,1.4572,0.32529,0.85157
20.237003484035004,5.846514577349834,0.08223632814297453,95.46080515062354,0.11628109861511121,1366.2474014537618,1225.481042451399,0.1299071640873961,0.29351159039307284,-0.15642148406198916,-0.34862331418125614,0.04520071047499208,0.47591,-0.16951,-0.47924,0.63246,-0.20572,1.1062
5.57733976505436,7.924051054363511,0.7290618127917871,354.86844396319674,0.26131727604237376,1682.4869941760824,1307.1995229147124,0.2103059868560806,0.30199345712835635,-0.20254085561216545,-0.26783977264226877,-0.26997474262472493,1.2232,-0.097799,-0.14367,1.2664,-0.10781,1.3796
14.337825418723002,14.305967734899186,0.1411922601994127,193.486542219543,0.3300104568025123,1990.5160518948096,1399.8889902490305,0.37399843790057863,0.06545660114225522,-0.002471462485381215,-0.1143031882245904,-0.13201351763360242,1.5535,-0.0087034,-0.40251,0.46697,-0.0087034,2.2104
